STATUS | wrapper  | 2012/12/02 04:01:33 | Service is running.  Stopping it...
INFO   | jvm 1    | 2012/12/02 04:04:18 | 04:04:18.940 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e4a1bf at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:18 | 04:04:18.940 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:23 | 04:04:23.878 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1d8add3 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:23 | 04:04:23.878 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:28 | 04:04:28.482 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1ac14dd at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:28 | 04:04:28.482 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:33 | 04:04:32.926 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@ff8e3a at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:33 | 04:04:32.926 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:36 | 04:04:36.880 INFO - I/O exception (java.net.SocketException) caught when processing request: Connection reset
INFO   | jvm 1    | 2012/12/02 04:04:36 | 04:04:36.880 INFO - Retrying request
INFO   | jvm 1    | 2012/12/02 04:04:38 | 04:04:38.636 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:04:44 | 04:04:44.032 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:04:49 | 04:04:49.059 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:04:53 | 04:04:53.638 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:04:57 | 04:04:57.940 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:02 | 04:05:02.039 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:06 | 04:05:06.520 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:11 | 04:05:11.286 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:16 | 04:05:16.317 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:21 | 04:05:21.740 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:27 | 04:05:27.585 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:33 | 04:05:33.760 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:40 | 04:05:40.322 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:47 | 04:05:47.490 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:05:55 | 04:05:55.045 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:06:03 | 04:06:03.038 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:06:11 | 04:06:11.771 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:06:21 | 04:06:21.064 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:06:30 | 04:06:30.880 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:06:41 | 04:06:41.395 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:06:52 | 04:06:51.910 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:02 | 04:07:02.045 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:11 | 04:07:11.509 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:20 | 04:07:20.088 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:28 | 04:07:28.174 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:35 | 04:07:35.778 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:42 | 04:07:42.677 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:49 | 04:07:49.126 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:07:55 | 04:07:55.195 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:00 | 04:08:00.783 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:05 | 04:08:05.925 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:10 | 04:08:10.768 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:15 | 04:08:15.295 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:19 | 04:08:19.394 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:23 | 04:08:23.679 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:28 | 04:08:28.200 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:33 | 04:08:33.130 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:38 | 04:08:38.386 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:44 | 04:08:43.937 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:49 | 04:08:49.901 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:08:56 | 04:08:56.348 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:03 | 04:09:03.160 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:10 | 04:09:10.377 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:18 | 04:09:18.283 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:26 | 04:09:26.640 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:35 | 04:09:35.461 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:45 | 04:09:45.067 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:09:55 | 04:09:55.284 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:05 | 04:10:05.800 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:16 | 04:10:16.315 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:26 | 04:10:25.969 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:35 | 04:10:35.062 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:43 | 04:10:43.580 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:51 | 04:10:51.276 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:10:58 | 04:10:58.530 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:05 | 04:11:05.353 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:11 | 04:11:11.562 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:17 | 04:11:17.347 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:22 | 04:11:22.793 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:27 | 04:11:27.822 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:32 | 04:11:32.435 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:36 | 04:11:36.780 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:40 | 04:11:40.854 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:45 | 04:11:45.325 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:50 | 04:11:50.052 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:11:55 | 04:11:55.048 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:00 | 04:12:00.471 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:06 | 04:12:06.270 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:12 | 04:12:12.394 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:18 | 04:12:18.964 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:26 | 04:12:26.077 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:33 | 04:12:33.594 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:41 | 04:12:41.567 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:50 | 04:12:50.293 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:12:59 | 04:12:59.518 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:13:09 | 04:13:09.249 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:13:19 | 04:13:19.779 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:13:30 | 04:13:30.294 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:13:40 | 04:13:40.511 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:13:50 | 04:13:49.974 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:13:58 | 04:13:58.627 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:06 | 04:14:06.778 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:14 | 04:14:14.441 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:21 | 04:14:21.350 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:27 | 04:14:27.860 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:34 | 04:14:33.983 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:39 | 04:14:39.564 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:44 | 04:14:44.740 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:49 | 04:14:49.621 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:14:54 | 04:14:54.154 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:00 | 04:15:00.841 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:07 | 04:15:07.851 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:14 | 04:15:14.882 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:21 | 04:15:21.912 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:29 | 04:15:28.922 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:36 | 04:15:35.922 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:43 | 04:15:42.942 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:50 | 04:15:49.952 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:15:57 | 04:15:56.952 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:04 | 04:16:03.952 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:11 | 04:16:10.962 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:18 | 04:16:17.972 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:25 | 04:16:24.982 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:32 | 04:16:31.992 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:39 | 04:16:39.003 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:46 | 04:16:46.023 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:16:53 | 04:16:53.033 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:00 | 04:17:00.053 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:07 | 04:17:07.073 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:14 | 04:17:14.083 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:21 | 04:17:21.103 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:28 | 04:17:28.123 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:35 | 04:17:35.143 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:42 | 04:17:42.163 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:49 | 04:17:49.183 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:17:56 | 04:17:56.194 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:03 | 04:18:03.204 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:10 | 04:18:10.214 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:17 | 04:18:17.214 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:24 | 04:18:24.214 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:31 | 04:18:31.214 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:38 | 04:18:38.224 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:45 | 04:18:45.244 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:52 | 04:18:52.254 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:18:59 | 04:18:59.264 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:06 | 04:19:06.274 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:13 | 04:19:13.284 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:20 | 04:19:20.294 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:27 | 04:19:27.355 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:34 | 04:19:34.365 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:41 | 04:19:41.375 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:48 | 04:19:48.385 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:19:55 | 04:19:55.395 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:02 | 04:20:02.405 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:09 | 04:20:09.415 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:16 | 04:20:16.425 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:23 | 04:20:23.435 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:30 | 04:20:30.455 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:37 | 04:20:37.556 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:44 | 04:20:44.656 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:51 | 04:20:51.756 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:20:58 | 04:20:58.856 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:21:05 | 04:21:05.966 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:21:13 | 04:21:13.057 INFO - couldn't register this node : hub down or not responding.
INFO   | jvm 1    | 2012/12/02 04:21:20 | 04:21:20.157 INFO - couldn't register this node : hub down or not responding.
